Care Pathway,Sub-Pathway,Trigger(s),Task / Interaction,Primary Persona(s)
"I. Onboarding, Engagement, & Relationship Management",Initial Greetings & Onboarding,Member completes enrollment and logs into the app for the first time.,Welcoming a new member to the program after they first log in.,Care Coach
"I. Onboarding, Engagement, & Relationship Management",Initial Greetings & Onboarding,A member is transferred to a new Care Lead's queue.,Introducing oneself as the new Care Lead when a member is transferred.,Care Coach
"I. Onboarding, Engagement, & Relationship Management",Initial Greetings & Onboarding,"A member is moved between support tiers (e.g., moderate to high). ",Greeting a member who has been reassigned from a different support tier.,Care Coach
"I. Onboarding, Engagement, & Relationship Management",Routine & Milestone-Based Engagement,The current date matches the member's date of birth.,"Sending ""Happy Birthday"" messages.",System / Care Coach
"I. Onboarding, Engagement, & Relationship Management",Routine & Milestone-Based Engagement,Manual task created by Care Coach based on member's join date.,Acknowledging a member's anniversary with the program.,Care Coach
"I. Onboarding, Engagement, & Relationship Management",Routine & Milestone-Based Engagement,System detects no inbound or outbound messages for 7 days.,Performing a general check-in if there has been no contact for seven days.,Care Coach
"I. Onboarding, Engagement, & Relationship Management",Routine & Milestone-Based Engagement,Member has not engaged with the app in the last 3 weeks but has a history of engagement.,Following up with members who are showing signs of disengagement from the app.,Care Coach
"I. Onboarding, Engagement, & Relationship Management",Handling Program Exit,"Member requests to exit, or meets exit criteria (e.g., no diagnosis). ",Creating a manual task as part of the protocol to exit a member from the program.,Care Coach
II. Clinical Data & Health Information Exchange,Requesting & Guiding Lab Collection,25 days have passed since onboarding with no verified A1c recorded.,Proactively requesting a baseline A1c result 25 days after onboarding if none is on file.,Care Coach
II. Clinical Data & Health Information Exchange,Requesting & Guiding Lab Collection,90 days have passed since the last verified A1c result.,Requesting a follow-up A1c result 90 days after the previous one.,Care Coach
II. Clinical Data & Health Information Exchange,Requesting & Guiding Lab Collection,"During an A1c request interaction, the member agrees to receive a kit. ",Offering to send a home A1c test kit and confirming the member's address.,Care Coach
II. Clinical Data & Health Information Exchange,Requesting & Guiding Lab Collection,Member declines a home A1c kit but may have recent results.,Asking a member to share a photo of a recent lab result as an alternative to a home kit.,Care Coach
II. Clinical Data & Health Information Exchange,Following Up on Lab & Kit Status,5 days have passed since the A1c kit shipment date.,Checking to ensure a member has received their A1c home kit.,Care Coach
II. Clinical Data & Health Information Exchange,Following Up on Lab & Kit Status,Manual task created by Care Coach after sending a kit.,Following up on a member's completion of the A1c kit.,Care Coach
II. Clinical Data & Health Information Exchange,Following Up on Lab & Kit Status,The lab reports an invalid result for the processed kit.,Informing a member that their A1c sample was invalid due to a lab error.,Care Coach
II. Clinical Data & Health Information Exchange,Discussing & Verifying Results,A valid A1c value from a home kit is received by the system.,Sharing A1c results from a home kit and asking for the member's thoughts.,Care Coach
II. Clinical Data & Health Information Exchange,Discussing & Verifying Results,"Member sends a photo of results that is missing key information (e.g., Name, DOB). ",Instructing a member on the specific requirements for submitting a verifiable photo of lab results.,Care Coach
II. Clinical Data & Health Information Exchange,Discussing & Verifying Results,Member sends a message asking for a copy of their lab results.,Directing a member to the Athena patient portal to view their own lab results when requested.,Care Coach
II. Clinical Data & Health Information Exchange,Medication History Management,"System automatically presents the ""Import your prescriptions"" card 14 days after enrollment. ",Prompting a member to import their prescription history via Surescripts.,System / Care Coach
II. Clinical Data & Health Information Exchange,Medication History Management,Member has opted into Surescripts but has not confirmed their medication list within 7 days.,Reminding a member to review and confirm the medication list imported from Surescripts.,Care Coach
II. Clinical Data & Health Information Exchange,Medication History Management,Member explicitly opts out of Surescripts or is unable to use the feature.,Providing instructions for manual medication entry if a member opts out of Surescripts.,Care Coach
III. Device & Application Support,Device Setup & Pairing,System detects 3 days have passed since BGM delivery with no pairing activity.,Contacting a member when their BGM has not been set up three days after receipt.,Care Coach
III. Device & Application Support,Device Setup & Pairing,"During an interaction, the member indicates they have received the meter but not paired it. ",Providing instructions and encouragement to pair the BGM with the app.,Care Coach
III. Device & Application Support,Device Setup & Pairing,Member reports issues pairing their BP monitor.,"Guiding a member through pairing their BP monitor, including troubleshooting Bluetooth issues.",Care Coach
III. Device & Application Support,Device Usage & Troubleshooting,"Based on the CGM wear schedule (e.g., end of 10 or 14-day session). ",Reminding a member to remove their CGM sensor.,Care Coach
III. Device & Application Support,Device Usage & Troubleshooting,System detects no CGM data transmission for 24 hours for an active CGM user.,Checking in with a member if no CGM data has been observed for 24 hours.,Care Coach
III. Device & Application Support,Device Usage & Troubleshooting,Member messages the care team about an error code on their BP device.,Providing solutions for specific error codes displayed on the Omron BP monitor.,Care Coach
III. Device & Application Support,Application-Specific Guidance,A telehealth visit or new feature requires a newer app version than the member has installed.,Instructing a member to update their app to the latest version to enable a specific workflow.,Care Coach
IV. Appointment Scheduling & Visit Management,Initiating & Scheduling Visits,"A clinical need for a visit is identified (e.g., T1D member needs CGM Rx). ",Confirming a member's eligibility and willingness for an Onduo PC visit.,Care Coach
IV. Appointment Scheduling & Visit Management,Initiating & Scheduling Visits,Member confirms willingness and eligibility for a telehealth visit.,Sending a scheduling link or card for an in-app video visit.,Care Coach
IV. Appointment Scheduling & Visit Management,Initiating & Scheduling Visits,An RN reviews persistent high BP readings and recommends a visit.,Offering a visit with a doctor if a member's blood pressure readings are consistently high.,Registered Nurse
IV. Appointment Scheduling & Visit Management,Visit Preparation & Reminders,System automatically sends reminders 2-7 days before a scheduled appointment.,Sending appointment reminders and asking the member to confirm medications beforehand.,System / Care Coach
